"Proposal","Link to ideascale","Yes","No","Result","Meets approval threshold","Requested $","Status","Fund depletion","Reason for not funded status"
"Create message signing standard","https://app.ideascaleapp.eu/t/UCNZPdB","₳359,354,405","₳9,109,436","₳350,244,969","YES","$535.00","FUNDED","$199,465.00",""
"Liqwid:Cardano DeFi Lending Markets","https://app.ideascaleapp.eu/t/UCNZPct","₳357,174,588","₳25,930,112","₳331,244,476","YES","$41,195.00","FUNDED","$158,270.00",""
"Cardano for Mobile dApp Developers","https://app.ideascaleapp.eu/t/UCNZPdc","₳248,525,934","₳40,751,493","₳207,774,441","YES","$32,100.00","FUNDED","$126,170.00",""
"Cardano Starter Kits + APIs","https://app.ideascaleapp.eu/t/UCNZPcc","₳240,361,992","₳37,093,303","₳203,268,689","YES","$28,355.00","FUNDED","$97,815.00",""
"Lovelace Academy Marlowe Plutus","https://app.ideascaleapp.eu/t/UCNZPcr","₳218,452,731","₳44,649,302","₳173,803,428","YES","$12,919.18","FUNDED","$84,895.82",""
"IoT Utility Dapp - Sign Tx Arduino","https://app.ideascaleapp.eu/t/UCNZPdq","₳146,396,640","₳35,272,778","₳111,123,862","YES","$8,025.00","FUNDED","$76,870.82",""
"Pet Registry dApp + ₳Pay API","https://app.ideascaleapp.eu/t/UCNZPdY","₳145,666,496","₳46,133,913","₳99,532,583","YES","$14,263.21","FUNDED","$62,607.61",""
"Haskell/Plutus/Marlowe Education","https://app.ideascaleapp.eu/t/UCNZPcd","₳94,900,606","₳48,031,982","₳46,868,624","YES","$19,469.29","FUNDED","$43,138.32",""
"Free-Commerce: sell online with ADA","https://app.ideascaleapp.eu/t/UCNZPcp","₳103,377,949","₳67,038,472","₳36,339,477","YES","$77,514.76","NOT FUNDED","$43,138.32","Not Funded - Over Budget"
"Ouroboros over RINA","https://app.ideascaleapp.eu/t/UCNZPdW","₳70,414,347","₳40,575,358","₳29,838,988","YES","$10,700.00","FUNDED","$32,438.32",""
"PoolTool Platform Upgrade","https://app.ideascaleapp.eu/t/UCNZPcj","₳98,330,986","₳68,747,817","₳29,583,170","YES","$22,470.00","FUNDED","$9,968.32",""
"Address Gap in SPO Education/Comms","https://app.ideascaleapp.eu/t/UCNZPdC","₳92,256,872","₳63,811,125","₳28,445,748","YES","$10,700.00","NOT FUNDED","$9,968.32","Not Funded - Over Budget"
"ABCD","https://app.ideascaleapp.eu/t/UCNZPce","₳86,922,895","₳63,808,724","₳23,114,171","YES","$35,845.00","NOT FUNDED","$9,968.32","Not Funded - Over Budget"
"Further development of ADApools.org","https://app.ideascaleapp.eu/t/UCNZPdM","₳98,452,380","₳75,758,000","₳22,694,380","YES","$26,750.00","NOT FUNDED","$9,968.32","Not Funded - Over Budget"
"Cardano Swift SDK","https://app.ideascaleapp.eu/t/UCNZPcg","₳64,605,460","₳45,257,829","₳19,347,631","YES","$10,700.00","NOT FUNDED","$9,968.32","Not Funded - Over Budget"
"The Cardano Aura Podcast","https://app.ideascaleapp.eu/t/UCNZPci","₳115,438,175","₳97,661,614","₳17,776,561","YES","$16,050.00","NOT FUNDED","$9,968.32","Not Funded - Over Budget"
