"Proposal","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Liqwid:Cardano DeFi Liquidity Pools","₳1,600,000,000","₳18,217,050","₳1,581,782,950","YES","$53,000.00","FUNDED","$147,000",""
"Ada Tx to Trigger IoT + IO HW Spins","₳787,000,000","₳58,830,495","₳728,169,505","YES","$33,000.00","FUNDED","$114,000",""
"Comprehensive NFT Framework Collab","₳693,000,000","₳45,804,734","₳647,195,266","YES","$48,965.00","FUNDED","$65,035",""
"Digital Asset Inheritance","₳436,000,000","₳15,998,344","₳420,001,656","YES","$42,000.00","FUNDED","$23,035",""
"Crowdano - Crowdfunding Platform","₳373,000,000","₳41,483,428","₳331,516,572","YES","$24,030.00","NOT FUNDED","$23,035","Over Budget"
"Artano - A Cardano NFT Marketplace","₳320,000,000","₳18,988,738","₳301,011,262","YES","$30,000.00","NOT FUNDED","$23,035","Over Budget"
"Decentralized Accounting <- IFRS","₳295,000,000","₳57,951,968","₳237,048,032","YES","$4,000.00","FUNDED","$19,035",""
"Cardano <> Incognito Bridge","₳274,000,000","₳46,385,865","₳227,614,135","YES","$25,000.00","NOT FUNDED","$19,035","Over Budget"
"Secured Ticketing System For Events","₳178,000,000","₳24,106,906","₳153,893,094","YES","$55,000.00","NOT FUNDED","$19,035","Over Budget"
"Food traceability solution - Africa","₳147,000,000","₳19,413,707","₳127,586,293","YES","$3,500.00","FUNDED","$15,535",""
"Cardano Algorithmic Credit Scoring","₳146,000,000","₳30,015,631","₳115,984,369","YES","$20,000.00","NOT FUNDED","$15,535","Over Budget"
"Dapp for business contracts","₳127,000,000","₳15,902,162","₳111,097,838","YES","$15,000.00","FUNDED","$535",""
"In-Store Currency (Shopify)","₳128,000,000","₳28,444,242","₳99,555,758","YES","$100,000.00","NOT FUNDED","$535","Over Budget"
"Impact the Art Industry with ArtAcy","₳126,000,000","₳34,873,933","₳91,126,067","YES","$35,000.00","NOT FUNDED","$535","Over Budget"
"Scalable fake news detection DApp","₳109,000,000","₳29,889,707","₳79,110,293","YES","$46,400.00","NOT FUNDED","$535","Over Budget"
"GreenSavings (PoupVerde)","₳138,000,000","₳59,489,906","₳78,510,094","YES","$21,163.00","NOT FUNDED","$535","Over Budget"
"DaPassword - a password manager","₳101,000,000","₳28,099,583","₳72,900,417","YES","$48,000.00","NOT FUNDED","$535","Over Budget"
"Educating Crypto's Next Generation","₳86,399,916","₳16,981,997","₳69,417,919","YES","$42,065.00","NOT FUNDED","$535","Over Budget"
"Migrate Multi-PVP game from Tron","₳92,793,606","₳24,352,157","₳68,441,449","YES","$40,000.00","NOT FUNDED","$535","Over Budget"
"D Timestamped Registration System","₳95,362,841","₳28,572,164","₳66,790,677","YES","$5,000.00","NOT FUNDED","$535","Over Budget"
"SoMint - Art 3.0 ""A Fresh Approach""","₳78,015,941","₳11,474,388","₳66,541,553","YES","$20,000.00","NOT FUNDED","$535","Over Budget"
"Coinmarketcap for Dapps by Adapools","₳77,460,664","₳13,936,960","₳63,523,704","YES","$40,000.00","NOT FUNDED","$535","Over Budget"
"ReCheck.Me","₳76,834,448","₳19,282,418","₳57,552,030","YES","$40,000.00","NOT FUNDED","$535","Over Budget"
"e-invoicing standard","₳70,930,160","₳21,914,748","₳49,015,412","YES","$22,500.00","NOT FUNDED","$535","Over Budget"
"Carbonland Trust","₳126,000,000","₳77,996,469","₳48,003,531","YES","$5,000.00","NOT FUNDED","$535","Over Budget"
"Proof of Ownership-Land/Real Estate","₳58,576,079","₳13,454,576","₳45,121,503","YES","$25,000.00","NOT FUNDED","$535","Over Budget"
"Marketplace-for-Overstock-Produce","₳60,172,918","₳20,864,851","₳39,308,067","YES","$3,000.00","NOT FUNDED","$535","Over Budget"
"Donating Better with Cardano","₳56,170,814","₳17,982,851","₳38,187,963","YES","$42,000.00","NOT FUNDED","$535","Over Budget"
"TrashApp","₳59,450,801","₳21,812,930","₳37,637,871","YES","$30,000.00","NOT FUNDED","$535","Over Budget"
"Serv Network Professional Profiles","₳65,634,416","₳32,031,760","₳33,602,656","YES","$3,960.00","NOT FUNDED","$535","Over Budget"
"The Basket DApp - 売買カート","₳54,837,372","₳22,449,295","₳32,388,077","YES","$1.00","FUNDED","$534",""
"Cardano Sticker Marketing Campaign","₳87,488,426","₳56,150,736","₳31,337,690","YES","$700.00","NOT FUNDED","$534","Over Budget"
"Stiff.Money","₳59,769,145","₳28,634,367","₳31,134,778","YES","$5,000.00","NOT FUNDED","$534","Over Budget"
"Decentralized Social Media Platform","₳50,605,371","₳21,580,227","₳29,025,144","YES","$100,000.00","NOT FUNDED","$534","Over Budget"
"Decentralized system by staking","₳44,107,210","₳20,448,856","₳23,658,354","YES","$60,000.00","NOT FUNDED","$534","Over Budget"
"DeFi - High Interest Cert of Dep","₳39,154,967","₳16,269,929","₳22,885,038","YES","$45,000.00","NOT FUNDED","$534","Over Budget"
"Crowdfunding platform with ADA","₳37,326,104","₳17,245,897","₳20,080,207","YES","$42,500.00","NOT FUNDED","$534","Over Budget"
"Funding portal (smart dApp)","₳36,160,520","₳16,634,215","₳19,526,305","YES","$50,000.00","NOT FUNDED","$534","Over Budget"
"Orihon - Tracing Waste with Cardano","₳36,777,657","₳17,984,835","₳18,792,822","YES","$50,000.00","NOT FUNDED","$534","Over Budget"
"Authentication for DeepFake Defense","₳36,630,315","₳17,937,037","₳18,693,278","YES","$12,000.00","NOT FUNDED","$534","Over Budget"
"WeThinkItMatters, Cause-based Dapp","₳31,679,491","₳15,347,147","₳16,332,344","YES","$10,000.00","NOT FUNDED","$534","Over Budget"
"OctoWars - a game platform","₳41,234,074","₳25,030,559","₳16,203,515","YES","$125,000.00","NOT FUNDED","$534","Over Budget"
"Fandom Auction and Sales Platform","₳34,823,602","₳19,871,925","₳14,951,677","YES","$25,000.00","NOT FUNDED","$534","Over Budget"
"Adding Cardano to TOP Game Dapp","₳31,885,743","₳17,689,215","₳14,196,528","YES","$10,000.00","NOT FUNDED","$534","Over Budget"
"Business Governance Application","₳35,025,081","₳20,917,909","₳14,107,172","YES","$97,849.00","NOT FUNDED","$534","Over Budget"
"African Digital Identity Platform","₳30,234,626","₳17,578,823","₳12,655,803","YES","$15,000.00","NOT FUNDED","$534","Over Budget"
"Nmadi Space: A Digital Universe","₳30,184,827","₳17,864,118","₳12,320,709","YES","$19,000.00","NOT FUNDED","$534","Over Budget"
"Fanance -Celebrity Trading Platform","₳52,193,689","₳41,270,311","₳10,923,378","YES","$20,000.00","NOT FUNDED","$534","Over Budget"
"Cardvrytin Mobile App to Drive Digi","₳37,823,747","₳26,986,244","₳10,837,503","YES","$150,000.00","NOT FUNDED","$534","Over Budget"
"Multiplayer strategy game","₳53,996,164","₳44,445,344","₳9,550,820","YES","$2,500.00","NOT FUNDED","$534","Over Budget"
"TRUST: Debunk misinformation DApp","₳28,919,958","₳20,826,050","₳8,093,908","YES","$50,000.00","NOT FUNDED","$534","Over Budget"
"RedToken-Blood Donation dApp","₳26,005,273","₳18,643,761","₳7,361,512","YES","$15,000.00","NOT FUNDED","$534","Over Budget"
"Cardano Central","₳28,622,709","₳22,897,084","₳5,725,625","YES","$5,000.00","NOT FUNDED","$534","Over Budget"
"TCG fractional-share marketplace","₳26,507,237","₳20,917,685","₳5,589,552","YES","$11,000.00","NOT FUNDED","$534","Over Budget"
"Inu.Social - NFT Social Media","₳30,395,915","₳26,079,233","₳4,316,682","YES","$100,000.00","NOT FUNDED","$534","Over Budget"
