"Proposal","Link to ideascale","Overall score","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Haskell Devs for Liqwid Plutus SC's","http://app.ideascale.com/t/UM5UZBf8o","4.87","₳987,682,507","₳42,852,579","₳944,829,928","YES","$36,500.00","FUNDED","$163,500",""
"Cardano On-Chain Voting","http://app.ideascale.com/t/UM5UZBf37","4.33","₳374,916,832","₳55,806,397","₳319,110,435","YES","$15,000.00","FUNDED","$148,500",""
"Littercoin - Mass Adoption","http://app.ideascale.com/t/UM5UZBfcs","4.44","₳285,715,266","₳118,436,548","₳167,278,718","YES","$50,000.00","FUNDED","$98,500",""
"PlayerMint: Token System for Gamers","http://app.ideascale.com/t/UM5UZBfgi","4.24","₳251,413,270","₳94,904,570","₳156,508,700","YES","$30,000.00","FUNDED","$68,500",""
"Cardax - DEX on Cardano","http://app.ideascale.com/t/UM5UZBf8r","2.61","₳182,500,457","₳34,065,727","₳148,434,730","YES","$50,000.00","FUNDED","$18,500",""
"NFT-DAO NFT metadata standards","http://app.ideascale.com/t/UM5UZBfoW","3","₳188,066,218","₳45,029,164","₳143,037,054","YES","$28,648.00","NOT FUNDED","$18,500","Over Budget"
"Wrapped Ether - The WETHER token 🌧","http://app.ideascale.com/t/UM5UZBffd","1.83","₳116,652,008","₳37,159,851","₳79,492,157","YES","$30,000.00","NOT FUNDED","$18,500","Over Budget"
"Decentralization Aids: Geo & Infra","http://app.ideascale.com/t/UM5UZBf3y","4.13","₳176,083,946","₳104,782,648","₳71,301,298","YES","$25,000.00","NOT FUNDED","$18,500","Over Budget"
"REVUTO - Subscription Management","http://app.ideascale.com/t/UM5UZBf8M","3.83","₳165,247,547","₳96,227,746","₳69,019,801","YES","$60,000.00","NOT FUNDED","$18,500","Over Budget"
"NFT-DAO Framework Collab—continued","http://app.ideascale.com/t/UM5UZBfoI","2.67","₳94,263,242","₳36,564,209","₳57,699,033","YES","$39,987.00","NOT FUNDED","$18,500","Over Budget"
"CRITQ~Art Criticism NFT Marketplace","http://app.ideascale.com/t/UM5UZBf2g","4.2","₳174,928,609","₳119,243,988","₳55,684,621","YES","$20,000.00","NOT FUNDED","$18,500","Over Budget"
"Real Estate Investment Platform","http://app.ideascale.com/t/UM5UZBfrR","2.73","₳87,219,620","₳42,302,260","₳44,917,360","YES","$10,000.00","FUNDED","$8,500",""
"TipADA - Decentralized $ADA Tipping","http://app.ideascale.com/t/UM5UZBfvE","3.67","₳126,759,856","₳84,594,920","₳42,164,936","YES","$50,000.00","NOT FUNDED","$8,500","Over Budget"
"Novellia Gaming Platform and Store","http://app.ideascale.com/t/UM5UZBfdv","4","₳148,009,014","₳109,518,777","₳38,490,237","YES","$60,000.00","NOT FUNDED","$8,500","Over Budget"
"Bridging Cardano to Onomy & Beyond","http://app.ideascale.com/t/UM5UZBf3V","3.6","₳102,645,296","₳69,926,166","₳32,719,130","YES","$25,000.00","NOT FUNDED","$8,500","Over Budget"
"Myjeeni - Decentralized Healthcare","http://app.ideascale.com/t/UM5UZBfoP","3.67","₳111,669,246","₳80,205,330","₳31,463,916","YES","$50,000.00","NOT FUNDED","$8,500","Over Budget"
"Migrate Tron Multi-PVP Game to ADA","http://app.ideascale.com/t/UM5UZBfdr","3.9","₳106,804,061","₳75,726,471","₳31,077,590","YES","$40,000.00","NOT FUNDED","$8,500","Over Budget"
