"Proposal","Link to ideascale","Overall score","Votes cast","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Software as a Service for Cardano","http://app.ideascale.com/t/UM5UZBmnB","5.00","4476","₳637,293,223","₳28,405,633","₳608,887,590","YES","$60,000","FUNDED","$945,000",""
"Plutus PAB Typescript SDK","http://app.ideascale.com/t/UM5UZBnCo","5.00","2226","₳407,234,809","₳19,995,040","₳387,239,769","YES","$35,000","FUNDED","$910,000",""
"Gravatar for ADA Wallets","http://app.ideascale.com/t/UM5UZBmuu","5.00","2502","₳401,288,824","₳47,664,488","₳353,624,336","YES","$87,700","FUNDED","$822,300",""
"Multiverse - dApp Rollback Handler","http://app.ideascale.com/t/UM5UZBnNP","3.89","754","₳330,562,681","₳18,466,371","₳312,096,310","YES","$100,000","FUNDED","$722,300",""
"Cardanoscan API Service","http://app.ideascale.com/t/UM5UZBnc6","4.87","1795","₳304,980,288","₳6,441,703","₳298,538,585","YES","$68,000","FUNDED","$654,300",""
"Cardano Wallet lib in pure JS(TS)","http://app.ideascale.com/t/UM5UZBncR","4.92","1330","₳244,241,547","₳11,039,655","₳233,201,892","YES","$92,000","FUNDED","$562,300",""
"Koios - Elastic Cardano Query Layer","http://app.ideascale.com/t/UM5UZBnQu","4.92","1313","₳250,844,622","₳21,333,445","₳229,511,177","YES","$30,000","FUNDED","$532,300",""
"Orcfax: trustworthy Cardano oracles","http://app.ideascale.com/t/UM5UZBmyD","4.92","1598","₳266,321,013","₳39,002,707","₳227,318,306","YES","$49,500","FUNDED","$482,800",""
"gimbalabs-building network capacity","http://app.ideascale.com/t/UM5UZBnMj","4.94","1568","₳248,975,728","₳40,895,596","₳208,080,132","YES","$27,350","FUNDED","$455,450",""
"Visual Blockchain Designer/Explorer","http://app.ideascale.com/t/UM5UZBnIM","4.67","895","₳201,018,220","₳34,060,129","₳166,958,091","YES","$50,000","FUNDED","$405,450",""
"Dart SDK for Blockfrost API","http://app.ideascale.com/t/UM5UZBnOG","4.83","977","₳193,448,293","₳32,402,260","₳161,046,033","YES","$9,400","FUNDED","$396,050",""
"Retroactive Project Funding SDK","http://app.ideascale.com/t/UM5UZBnKW","4.80","893","₳195,226,247","₳39,698,359","₳155,527,888","YES","$64,200","FUNDED","$331,850",""
"Logosphere - dApp Hackathons","http://app.ideascale.com/t/UM5UZBnVP","4.73","980","₳174,826,984","₳24,894,897","₳149,932,087","YES","$100,000","FUNDED","$231,850",""
"gimbalabs - Plutus PBL program","http://app.ideascale.com/t/UM5UZBnMm","4.83","1097","₳180,076,426","₳32,353,381","₳147,723,045","YES","$44,000","FUNDED","$187,850",""
"CPU/IOT development for fact data","http://app.ideascale.com/t/UM5UZBnMe","3.00","427","₳193,448,483","₳49,548,272","₳143,900,211","YES","$80,000","FUNDED","$107,850",""
"GMBL-turn devs into blockchain devs","http://app.ideascale.com/t/UM5UZBnMo","4.80","912","₳181,217,289","₳42,295,606","₳138,921,683","YES","$54,000","FUNDED","$53,850",""
"Bip32Ed25519 pure JS implementation","http://app.ideascale.com/t/UM5UZBncs","4.78","857","₳151,762,286","₳20,818,406","₳130,943,880","YES","$25,000","FUNDED","$28,850",""
"Blace.io: Marketplace Creator","http://app.ideascale.com/t/UM5UZBnG1","4.67","891","₳156,340,326","₳37,090,381","₳119,249,945","YES","$115,700","NOT FUNDED","$28,850","Over Budget"
"gimbalabs - Dandelion Daemon(s)","http://app.ideascale.com/t/UM5UZBnOz","4.67","603","₳137,047,662","₳36,808,508","₳100,239,154","YES","$41,600","NOT FUNDED","$28,850","Over Budget"
"Blockfrost PAB","http://app.ideascale.com/t/UM5UZBnOL","4.56","697","₳143,645,700","₳48,222,035","₳95,423,665","YES","$64,500","NOT FUNDED","$28,850","Over Budget"
"Open-source ISO Toolkit","http://app.ideascale.com/t/UM5UZBnSS","4.58","769","₳119,479,114","₳32,718,197","₳86,760,917","YES","$17,600","FUNDED","$11,250",""
"Dataset - On-Chain Analytics","http://app.ideascale.com/t/UM5UZBnOF","4.53","603","₳127,256,460","₳41,883,290","₳85,373,170","YES","$4,575","FUNDED","$6,675",""
"Cardano Wallet JS Multisig","http://app.ideascale.com/t/UM5UZBmrH","4.67","798","₳131,472,020","₳47,030,492","₳84,441,528","YES","$4,800","FUNDED","$1,875",""
"Ikigai - UE4/Unity Plugins & Tools","http://app.ideascale.com/t/UM5UZBnYR","4.67","699","₳109,689,103","₳25,309,378","₳84,379,725","YES","$60,000","NOT FUNDED","$1,875","Over Budget"
"Rust Cardano Networking Crate","http://app.ideascale.com/t/UM5UZBmuo","4.33","503","₳115,916,773","₳34,052,144","₳81,864,629","YES","$14,000","NOT FUNDED","$1,875","Over Budget"
"Transaction editor to replace cli","http://app.ideascale.com/t/UM5UZBnfw","4.75","715","₳115,131,445","₳36,010,156","₳79,121,289","YES","$16,400","NOT FUNDED","$1,875","Over Budget"
"Cardano Wallet Flutter SDK - Fund6","http://app.ideascale.com/t/UM5UZBnJr","4.33","441","₳109,538,820","₳31,205,493","₳78,333,327","YES","$30,000","NOT FUNDED","$1,875","Over Budget"
"Continuous Finance Building Blocks","http://app.ideascale.com/t/UM5UZBnJN","4.50","608","₳117,384,364","₳48,235,432","₳69,148,932","YES","$75,000","NOT FUNDED","$1,875","Over Budget"
"Localize Yoroi for Bulgaria","http://app.ideascale.com/t/UM5UZBmwG","4.25","425","₳91,032,147","₳23,955,238","₳67,076,909","YES","$2,500","NOT FUNDED","$1,875","Over Budget"
"Legacy Databases to Blockchain","http://app.ideascale.com/t/UM5UZBnWq","4.42","531","₳97,748,483","₳33,151,819","₳64,596,664","YES","$73,024","NOT FUNDED","$1,875","Over Budget"
"Localize Yoroi for Vietnam market","http://app.ideascale.com/t/UM5UZBmyS","4.28","509","₳91,079,103","₳28,623,489","₳62,455,614","YES","$4,000","NOT FUNDED","$1,875","Over Budget"
"StorJ for NFT storage [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnCm","3.93","415","₳91,256,573","₳33,409,659","₳57,846,914","YES","$30,000","NOT FUNDED","$1,875","Over Budget"
"Minswap TypeScript SDK","http://app.ideascale.com/t/UM5UZBnSh","4.06","612","₳80,627,581","₳24,614,781","₳56,012,800","YES","$39,600","NOT FUNDED","$1,875","Over Budget"
"Localize Yoroi for Ukraine","http://app.ideascale.com/t/UM5UZBmwQ","3.47","339","₳70,897,004","₳17,418,618","₳53,478,386","YES","$2,500","NOT FUNDED","$1,875","Over Budget"
"African Blockchain Centre for Devs","http://app.ideascale.com/t/UM5UZBm1Q","4.40","632","₳100,552,797","₳49,353,420","₳51,199,377","YES","$37,500","NOT FUNDED","$1,875","Over Budget"
"Cardano Analytics Data Hub","http://app.ideascale.com/t/UM5UZBm8B","4.33","501","₳91,641,530","₳40,443,274","₳51,198,256","YES","$60,000","NOT FUNDED","$1,875","Over Budget"
"Heidrun Expansion Upgrades - Part 2","http://app.ideascale.com/t/UM5UZBnY5","4.56","476","₳84,109,520","₳33,603,046","₳50,506,474","YES","$20,000","NOT FUNDED","$1,875","Over Budget"
"Reach POC on Cardano","http://app.ideascale.com/t/UM5UZBnFq","4.33","516","₳101,911,960","₳51,769,752","₳50,142,208","YES","$186,000","NOT FUNDED","$1,875","Over Budget"
"Zimbabwe Developers for Cardano","http://app.ideascale.com/t/UM5UZBnAI","4.40","598","₳97,181,175","₳48,948,512","₳48,232,663","YES","$30,600","NOT FUNDED","$1,875","Over Budget"
"CardanoSharp - Minting","http://app.ideascale.com/t/UM5UZBmoS","4.33","514","₳97,701,603","₳52,734,226","₳44,967,377","YES","$2,920","NOT FUNDED","$1,875","Over Budget"
"Blockfrost Unity games assets","http://app.ideascale.com/t/UM5UZBnOK","4.24","515","₳85,313,508","₳43,373,826","₳41,939,682","YES","$37,000","NOT FUNDED","$1,875","Over Budget"
"Heidrun Core Management Upgrades","http://app.ideascale.com/t/UM5UZBnaC","4.22","332","₳68,142,038","₳28,783,615","₳39,358,423","YES","$20,000","NOT FUNDED","$1,875","Over Budget"
"CardanoSharp - Unity SDK","http://app.ideascale.com/t/UM5UZBmoQ","4.08","431","₳82,285,209","₳43,047,525","₳39,237,684","YES","$7,760","NOT FUNDED","$1,875","Over Budget"
"CardanoSharp - UnrealEngine SDK","http://app.ideascale.com/t/UM5UZBmoO","4.00","440","₳80,677,737","₳43,209,768","₳37,467,969","YES","$10,180","NOT FUNDED","$1,875","Over Budget"
"Heidrun Expansion Upgrades - Part 1","http://app.ideascale.com/t/UM5UZBnY2","4.28","348","₳57,991,743","₳20,858,689","₳37,133,054","YES","$20,000","NOT FUNDED","$1,875","Over Budget"
"Heidrun Expansion Upgrades - Part 3","http://app.ideascale.com/t/UM5UZBnaJ","4.50","439","₳56,967,621","₳25,479,610","₳31,488,011","YES","$25,000","NOT FUNDED","$1,875","Over Budget"
"NEO-Cardano NFT Bridge [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnDV","3.92","395","₳77,145,777","₳50,005,344","₳27,140,433","YES","$50,000","NOT FUNDED","$1,875","Over Budget"
"True limitations of the Marlowe","http://app.ideascale.com/t/UM5UZBnET","4.08","363","₳72,043,340","₳45,993,081","₳26,050,259","YES","$5,000","NOT FUNDED","$1,875","Over Budget"
"Dataset - Token / CNFT Analytics","http://app.ideascale.com/t/UM5UZBnEg","4.33","428","₳74,512,123","₳49,582,580","₳24,929,543","YES","$9,375","NOT FUNDED","$1,875","Over Budget"
"Africa/Diaspora Dev Tools & Events","http://app.ideascale.com/t/UM5UZBmmm","3.67","366","₳78,232,026","₳58,540,886","₳19,691,140","YES","$30,000","NOT FUNDED","$1,875","Over Budget"
"Elm Integration with Plutus","http://app.ideascale.com/t/UM5UZBneC","4.33","341","₳52,301,988","₳37,969,033","₳14,332,955","YES","$6,000","NOT FUNDED","$1,875","Over Budget"
"CardanoSharp Smart Contract Support","http://app.ideascale.com/t/UM5UZBm1p","3.80","384","₳63,652,509","₳50,381,523","₳13,270,986","YES","$10,180","NOT FUNDED","$1,875","Over Budget"
"GameChanger: The onboarding wallet","http://app.ideascale.com/t/UM5UZBmzB","4.25","476","₳72,173,628","₳59,766,606","₳12,407,022","YES","$47,400","NOT FUNDED","$1,875","Over Budget"
"Legal resources for developers","http://app.ideascale.com/t/UM5UZBnXV","4.27","443","₳44,619,372","₳35,466,848","₳9,152,524","YES","$98,000","NOT FUNDED","$1,875","Over Budget"
"No-Code Smart Contracts","http://app.ideascale.com/t/UM5UZBnbC","3.78","412","₳42,980,660","₳37,545,140","₳5,435,520","NO","$114,800","NOT FUNDED","$1,875","Approval Threshold"
"Dataset - Stake Pool Analytics","http://app.ideascale.com/t/UM5UZBnUE","4.25","393","₳48,825,793","₳44,005,834","₳4,819,959","NO","$10,080","NOT FUNDED","$1,875","Approval Threshold"
"Crowdfunding Website for Start-Ups","http://app.ideascale.com/t/UM5UZBmxJ","4.24","537","₳60,315,274","₳57,247,729","₳3,067,545","NO","$120,000","NOT FUNDED","$1,875","Approval Threshold"
"CardanoSharp - Interactive Learning","http://app.ideascale.com/t/UM5UZBm1w","3.80","339","₳50,050,519","₳47,465,274","₳2,585,245","NO","$2,920","NOT FUNDED","$1,875","Approval Threshold"
"CardanoSharp - Multisig","http://app.ideascale.com/t/UM5UZBmoT","3.67","331","₳50,299,044","₳49,132,411","₳1,166,633","NO","$5,340","NOT FUNDED","$1,875","Approval Threshold"
"Visual DAO Framework","http://app.ideascale.com/t/UM5UZBmjE","3.92","362","₳55,637,202","₳54,900,792","₳736,410","NO","$72,350","NOT FUNDED","$1,875","Approval Threshold"
"Marketing for Ada Integration Tools","http://app.ideascale.com/t/UM5UZBnYi","3.43","307","₳32,523,695","₳34,911,073","-₳2,387,378","NO","$30,000","NOT FUNDED","$1,875","Approval Threshold"
"ADA MakerSpace Bounty Hunters DEVX","http://app.ideascale.com/t/UM5UZBnSu","4.33","386","₳43,330,183","₳45,838,011","-₳2,507,828","NO","$18,000","NOT FUNDED","$1,875","Approval Threshold"
"Plutus Integration with Pony Lang","http://app.ideascale.com/t/UM5UZBndC","3.53","260","₳27,185,932","₳30,159,970","-₳2,974,038","NO","$6,000","NOT FUNDED","$1,875","Approval Threshold"
"Localize in Ukrainian and Russian","http://app.ideascale.com/t/UM5UZBnQ5","3.33","314","₳22,467,017","₳25,879,919","-₳3,412,902","NO","$19,900","NOT FUNDED","$1,875","Approval Threshold"
"Testnet support for API [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnFG","3.78","350","₳54,208,910","₳57,900,695","-₳3,691,785","NO","$15,000","NOT FUNDED","$1,875","Approval Threshold"
"Cardano Developer Academy","http://app.ideascale.com/t/UM5UZBnGp","3.56","377","₳52,546,030","₳56,856,033","-₳4,310,003","NO","$18,000","NOT FUNDED","$1,875","Approval Threshold"
"ETH-Cardano NFT Bridge [NFT-MAKER|","http://app.ideascale.com/t/UM5UZBnDU","3.22","460","₳57,030,627","₳62,850,848","-₳5,820,221","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"Arweave as NFT storage [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnCw","3.92","390","₳52,382,413","₳61,531,767","-₳9,149,354","NO","$30,000","NOT FUNDED","$1,875","Approval Threshold"
"C64 Modular Wallet","http://app.ideascale.com/t/UM5UZBnBK","4.22","348","₳47,257,732","₳58,995,815","-₳11,738,083","NO","$23,860","NOT FUNDED","$1,875","Approval Threshold"
"IOTA-Cardano NFT Bridge [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnDW","3.13","375","₳44,317,673","₳57,617,504","-₳13,299,831","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"Treasury for Mini-Proposals","http://app.ideascale.com/t/UM5UZBnaM","4.00","309","₳27,972,292","₳43,533,204","-₳15,560,912","NO","$59,354","NOT FUNDED","$1,875","Approval Threshold"
"SOLID Software Development Projects","http://app.ideascale.com/t/UM5UZBm7d","3.56","311","₳42,924,848","₳58,567,127","-₳15,642,279","NO","$80,100","NOT FUNDED","$1,875","Approval Threshold"
"Contract Labeling & Transparency","http://app.ideascale.com/t/UM5UZBnVb","4.07","361","₳35,069,162","₳52,710,585","-₳17,641,423","NO","$68,000","NOT FUNDED","$1,875","Approval Threshold"
"Delegator Dividend Reward System","http://app.ideascale.com/t/UM5UZBnAw","2.89","325","₳38,329,501","₳56,952,252","-₳18,622,751","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"3D-Level editor for game-devs","http://app.ideascale.com/t/UM5UZBmqM","4.17","414","₳46,824,322","₳66,246,177","-₳19,421,855","NO","$60,000","NOT FUNDED","$1,875","Approval Threshold"
"BEN Learn Cardano Developer Course","http://app.ideascale.com/t/UM5UZBnXN","3.52","321","₳25,824,449","₳46,118,704","-₳20,294,255","NO","$50,500","NOT FUNDED","$1,875","Approval Threshold"
"Cardano meditation network","http://app.ideascale.com/t/UM5UZBm0h","3.33","313","₳28,968,322","₳57,640,850","-₳28,672,528","NO","$11,980","NOT FUNDED","$1,875","Approval Threshold"
"Prediction Outcome Verification","http://app.ideascale.com/t/UM5UZBnRq","2.92","262","₳12,605,559","₳42,273,355","-₳29,667,796","NO","$45,000","NOT FUNDED","$1,875","Approval Threshold"
"Gaming in Cardano For Mass Adoption","http://app.ideascale.com/t/UM5UZBnYc","1.33","370","₳12,689,914","₳42,951,117","-₳30,261,203","NO","$20,000","NOT FUNDED","$1,875","Approval Threshold"
"AI App Builder","http://app.ideascale.com/t/UM5UZBmz2","3.67","378","₳39,255,449","₳69,576,852","-₳30,321,403","NO","$220,000","NOT FUNDED","$1,875","Approval Threshold"
"Ranking projects built on cardano","http://app.ideascale.com/t/UM5UZBmmN","1.67","342","₳29,569,079","₳59,967,290","-₳30,398,211","NO","$80,000","NOT FUNDED","$1,875","Approval Threshold"
