"Proposal","Overall score","Votes cast","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Universal Resolver for did:prism","5.00","496","₳148,830,926","₳562,903","₳148,268,023","YES","$6,425","FUNDED","$493,575",""
"PeopleCert DevOps Pilot on Cardano","5.00","781","₳132,934,798","₳1,985,422","₳130,949,376","YES","$46,200","FUNDED","$447,375",""
"Visual DID & Credential Builder","4.83","355","₳125,276,050","₳981,839","₳124,294,211","YES","$25,000","FUNDED","$422,375",""
"PRISM DIDs for CA Onboarding","4.71","374","₳120,944,294","₳3,340,554","₳117,603,740","YES","$75,000","FUNDED","$347,375",""
"AtalaPRISM hackathon with devillage","3.67","194","₳110,158,787","₳11,484,041","₳98,674,746","YES","$100,000","FUNDED","$247,375",""
"Control your data via PRISM part 2","4.94","618","₳109,070,675","₳17,803,095","₳91,267,580","YES","$67,500","FUNDED","$179,875",""
"Recruitment Utilizing Atala PRISM","4.42","193","₳86,644,565","₳4,578,834","₳82,065,731","YES","$48,500","FUNDED","$131,375",""
"MetaDID experiment × Aizu Lab","2.39","162","₳93,921,638","₳21,077,105","₳72,844,533","YES","$50,000","FUNDED","$81,375",""
"Token-based PRISM credentials","4.56","187","₳73,770,085","₳3,223,233","₳70,546,852","YES","$29,267","FUNDED","$52,108",""
"DLT360: DID/ZKP & GDPR-Data Privacy","4.73","266","₳72,967,316","₳6,346,239","₳66,621,077","YES","$25,000","FUNDED","$27,108",""
"RootsWallet beta - Backup/Recovery","4.78","270","₳65,643,292","₳2,818,657","₳62,824,635","YES","$33,000","NOT FUNDED","$27,108","Over Budget"
"RootsWallet beta - Social UX","4.89","325","₳64,705,316","₳4,334,493","₳60,370,823","YES","$33,600","NOT FUNDED","$27,108","Over Budget"
"Aedou DIDs prototype","4.28","120","₳60,678,774","₳5,402,152","₳55,276,622","YES","$8,000","FUNDED","$19,108",""
"RootsWallet - Presentation Exchange","4.87","290","₳61,335,814","₳9,601,719","₳51,734,095","YES","$20,600","NOT FUNDED","$19,108","Over Budget"
"WAL-CLI Presentation Exchange","4.73","213","₳53,742,929","₳3,563,408","₳50,179,521","YES","$20,000","NOT FUNDED","$19,108","Over Budget"
"DAO-NET: DAO Atala Prism DIDs","4.67","208","₳52,193,589","₳4,001,955","₳48,191,634","YES","$72,000","NOT FUNDED","$19,108","Over Budget"
"DID for Democracy on the Blockchain","4.22","136","₳45,138,525","₳3,647,231","₳41,491,294","YES","$12,500","FUNDED","$6,608",""
"PRISM DIDs for Catalyst CA Process","4.22","137","₳39,181,667","₳2,685,127","₳36,496,540","YES","$21,000","NOT FUNDED","$6,608","Over Budget"
"Support ADA pmnts in PRISM workflow","4.39","122","₳41,138,093","₳4,942,630","₳36,195,463","YES","$32,205","NOT FUNDED","$6,608","Over Budget"
"Atala PRISM DID","3.92","106","₳40,357,240","₳5,987,879","₳34,369,361","YES","$14,219","NOT FUNDED","$6,608","Over Budget"
"Study Buddy 3.0","4.38","120","₳36,207,403","₳4,944,335","₳31,263,068","YES","$8,215","NOT FUNDED","$6,608","Over Budget"
"Lifelong Learning certif+AtalaPRISM","3.86","99","₳30,013,530","₳4,795,241","₳25,218,289","NO","$20,000","NOT FUNDED","$6,608","Approval Threshold"
"ATALA Prism Basic Income Protocol","3.50","90","₳29,744,398","₳6,796,780","₳22,947,618","NO","$29,500","NOT FUNDED","$6,608","Approval Threshold"
"Verifiable Digital Receipts","4.42","175","₳33,427,896","₳15,344,416","₳18,083,480","YES","$144,000","NOT FUNDED","$6,608","Over Budget"
"Decentralized Autonomous Iddir","4.20","111","₳30,264,259","₳12,724,923","₳17,539,336","YES","$24,000","NOT FUNDED","$6,608","Over Budget"
"NFTPass: Atala DID Integration","3.94","116","₳27,652,425","₳13,085,869","₳14,566,556","YES","$50,000","NOT FUNDED","$6,608","Over Budget"
"Resources for Refugees: Ukraine","3.60","93","₳21,259,816","₳7,113,962","₳14,145,854","NO","$15,000","NOT FUNDED","$6,608","Approval Threshold"
"Work Based Learning Credentials","3.50","80","₳24,458,856","₳10,988,202","₳13,470,654","NO","$20,000","NOT FUNDED","$6,608","Approval Threshold"
"School Boards as Verifiers of DIDs","4.27","109","₳27,153,272","₳15,285,444","₳11,867,828","YES","$12,500","NOT FUNDED","$6,608","Over Budget"
"Small Farmers DAO","3.73","96","₳25,698,513","₳15,157,116","₳10,541,397","YES","$33,000","NOT FUNDED","$6,608","Over Budget"
"DID Community Course","3.67","82","₳17,490,087","₳10,028,117","₳7,461,970","NO","$15,000","NOT FUNDED","$6,608","Approval Threshold"
"International Healthcare & Cardano","3.44","111","₳25,075,495","₳17,953,526","₳7,121,969","YES","$80,000","NOT FUNDED","$6,608","Over Budget"
"Boost Personal & Business Adoption","3.00","80","₳23,086,432","₳17,582,451","₳5,503,981","YES","$18,506","NOT FUNDED","$6,608","Over Budget"
"General Purpose Identification","2.75","76","₳16,524,127","₳15,768,741","₳755,386","NO","$14,000","NOT FUNDED","$6,608","Approval Threshold"
"DemeterGift","2.08","120","₳24,874,270","₳25,017,519","-₳143,249","NO","$100,000","NOT FUNDED","$6,608","Approval Threshold"
"Credentials and P2PDecentralized ID","1.78","100","₳22,412,306","₳23,462,497","-₳1,050,191","NO","$26,000","NOT FUNDED","$6,608","Approval Threshold"
"Address Verification Ecosystem","3.11","82","₳14,329,768","₳18,033,696","-₳3,703,928","NO","$24,000","NOT FUNDED","$6,608","Approval Threshold"
".Ada - User, Wallet, and DNS","3.27","117","₳15,298,213","₳21,110,177","-₳5,811,964","NO","$500,000","NOT FUNDED","$6,608","Approval Threshold"
