"Proposal","Votes cast","Yes","No","Result","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Enable use-cases that require frequent message signing by introducing a safe standard for message signing without wallet prompts","980","₳677,174,268","₳127,610,526","₳549,563,742","YES","₳179,300","FUNDED","₳8,506,300",""
"Paima onchain game integration of Frontend Game Engines & Novel Technology","1206","₳659,098,881","₳153,964,410","₳505,134,471","YES","₳720,000","FUNDED","₳7,786,300",""
"Enable apps and games built in the Cardano ecosystem to leverage ZK cryptography for privacy and scalability","1140","₳628,854,923","₳136,872,165","₳491,982,758","YES","₳450,000","FUNDED","₳7,336,300",""
"Allow Cardano users to call Sidechain smart contracts directly from their Cardano mainnet wallet","1144","₳630,997,644","₳146,834,778","₳484,162,866","YES","₳448,276","FUNDED","₳6,888,024",""
"Allow using NFTs from Cardano and other ecosystem in onchain games hosted in the Cardano ecosystem","1069","₳614,957,828","₳131,763,117","₳483,194,711","YES","₳650,000","FUNDED","₳6,238,024",""
"Enable apps and games that require large amounts of data to function cheaply while still maximizing availability and safety","1045","₳595,749,017","₳123,556,535","₳472,192,482","YES","₳270,000","FUNDED","₳5,968,024",""
"MLabs - Congested Testnet","556","₳418,680,553","₳44,875,360","₳373,805,193","YES","₳227,140","FUNDED","₳5,740,884",""
"MLabs - Re-think CIP-30 wallet interface standard","607","₳407,185,399","₳60,528,849","₳346,656,550","YES","₳271,430","FUNDED","₳5,469,454",""
"Cardanoscan.io Maintenance","770","₳360,149,899","₳21,269,457","₳338,880,442","YES","₳78,000","FUNDED","₳5,391,454",""
"MLabs - CEMScript SDK: get your DApp implementation from annotated on-chain logic state-machine","558","₳381,678,774","₳43,211,879","₳338,466,895","YES","₳291,786","FUNDED","₳5,099,668",""
"MLabs - DeNS (Decentralized Name System): Phase I","680","₳371,481,768","₳46,277,286","₳325,204,482","YES","₳257,850","FUNDED","₳4,841,818",""
"Sundae Labs Hydra Transaction Stream Plugin","848","₳435,236,239","₳145,866,158","₳289,370,081","YES","₳588,000","FUNDED","₳4,253,818",""
"Decentralized Minting | ADA Handle","858","₳404,968,887","₳138,421,620","₳266,547,267","YES","₳655,000","FUNDED","₳3,598,818",""
"Blockfrost SDKs refresh","498","₳304,194,447","₳40,812,484","₳263,381,963","YES","₳150,000","FUNDED","₳3,448,818",""
"Cardano Based Web3 Blockchain Center in Tokushima-Yoshinogawa Japan","799","₳459,466,628","₳217,494,204","₳241,972,424","YES","₳240,000","FUNDED","₳3,208,818",""
"Koios Evolution: Enhancements, Infra Support & Maintenance","653","₳337,354,190","₳106,084,582","₳231,269,608","YES","₳400,000","FUNDED","₳2,808,818",""
"Anastasia Labs - Streamlining Development: A User-Friendly Smart Contract Library for Plutarch and Aiken Design Patterns & Efficiency","525","₳267,831,491","₳51,618,841","₳216,212,650","YES","₳250,000","FUNDED","₳2,558,818",""
"Enable Eternl - F10","1015","₳366,712,766","₳158,051,433","₳208,661,333","YES","₳553,800","FUNDED","₳2,005,018",""
"Blockfrost bootstrap","548","₳272,149,187","₳71,476,525","₳200,672,662","YES","₳35,000","FUNDED","₳1,970,018",""
"CIP-88 Refinements & Tooling","449","₳223,520,345","₳27,765,942","₳195,754,403","YES","₳75,500","FUNDED","₳1,894,518",""
"Spectrum Network | Cross-chain Messaging Protocol","906","₳302,093,721","₳116,353,446","₳185,740,275","YES","₳710,560","FUNDED","₳1,183,958",""
"Erlang SDK for Blockfrost API","382","₳229,982,026","₳49,711,393","₳180,270,633","YES","₳30,000","FUNDED","₳1,153,958",""
"Sundae Labs Hydra Ledger-only Mode","827","₳336,294,417","₳156,805,226","₳179,489,191","YES","₳588,000","FUNDED","₳565,958",""
"Community CIP Editor: 1 year budget (continued)","349","₳239,810,850","₳100,076,278","₳139,734,572","YES","₳128,866","FUNDED","₳437,092",""
"CardanoShield: Protecting Cardano Wallet Users","645","₳244,289,901","₳110,382,487","₳133,907,414","YES","₳250,000","FUNDED","₳187,092",""
"Simple Node Sharing on Cardano","618","₳231,683,934","₳110,372,333","₳121,311,601","YES","₳35,800","FUNDED","₳151,292",""
"A Zero Knowledge Proof framework for Cardano based on Hydra and ZK-SNARKS","489","₳162,459,336","₳45,929,137","₳116,530,199","YES","₳75,000","FUNDED","₳76,292",""
"Open Transaction Chaining tooling to speed up Cardano dApps - By MuesliSwap","579","₳228,889,843","₳116,810,788","₳112,079,055","YES","₳44,200","FUNDED","₳32,092",""
"Efficient atomic cross chain swaps between Cardano and other blockchains","715","₳247,993,171","₳146,904,160","₳101,089,011","YES","₳180,000","NOT FUNDED","₳32,092","Over Budget"
"Cardano Advancement","380","₳152,455,363","₳56,057,380","₳96,397,983","YES","₳72,000","NOT FUNDED","₳32,092","Over Budget"
"AdaStat Cardano Explorer for Pre-prod and Preview test networks","383","₳128,451,062","₳34,231,270","₳94,219,792","YES","₳50,000","NOT FUNDED","₳32,092","Over Budget"
"Arweave Gateway API","556","₳209,470,389","₳117,793,086","₳91,677,303","YES","₳161,860","NOT FUNDED","₳32,092","Over Budget"
"Typhon Wallet Mobile App","713","₳229,205,391","₳141,855,357","₳87,350,034","YES","₳600,000","NOT FUNDED","₳32,092","Over Budget"
"Atlas 2.0 - PAB improvements and advanced features better leveraging UTxOs to build next-generation dApps","874","₳210,163,240","₳126,364,310","₳83,798,930","YES","₳386,666","NOT FUNDED","₳32,092","Over Budget"
"Marlowe Hub: Unifying Platform for Marlowe Smart Contracts, Oracles, and Mediators, Auditors and Developers","551","₳207,555,907","₳126,692,750","₳80,863,157","YES","₳240,000","NOT FUNDED","₳32,092","Over Budget"
"Staking Baskets Platform - Incentivizing Cardano's Decentralization","402","₳149,972,922","₳75,607,472","₳74,365,450","YES","₳345,000","NOT FUNDED","₳32,092","Over Budget"
"Cardano FUDS CIP & Implementation","422","₳138,394,604","₳65,517,149","₳72,877,455","YES","₳111,500","NOT FUNDED","₳32,092","Over Budget"
"Open-Source Ledger Nano X Flutter SDK and VESPR Wallet Integration","586","₳186,367,922","₳119,026,643","₳67,341,279","YES","₳270,000","NOT FUNDED","₳32,092","Over Budget"
"Staking Basket Ecosystem Contract + Audit - Incentivizing Cardano's Decentralization","413","₳139,700,114","₳75,356,493","₳64,343,621","YES","₳300,000","NOT FUNDED","₳32,092","Over Budget"
"Open-Source database synchronization SDK","547","₳206,889,469","₳149,043,456","₳57,846,013","YES","₳665,000","NOT FUNDED","₳32,092","Over Budget"
"Atrium Dashboard - The Heart of Cardano","421","₳128,847,019","₳82,615,931","₳46,231,088","YES","₳224,000","NOT FUNDED","₳32,092","Over Budget"
"Xerberus Powered Catalyst Analytics Dashboard","713","₳171,573,003","₳127,469,801","₳44,103,202","NO","₳200,000","NOT FUNDED","₳32,092","Approval Threshold"
"Terraform support for Blockfrost.io","410","₳172,917,078","₳132,722,154","₳40,194,924","NO","₳120,000","NOT FUNDED","₳32,092","Approval Threshold"
"Incentivized On-chain Project Engagement platform","360","₳126,365,511","₳90,654,209","₳35,711,302","YES","₳294,000","NOT FUNDED","₳32,092","Over Budget"
"NEWM Community - Onboard Android Devs to Cardano with PlutoK - Plutus Virtual Machine for Kotlin","569","₳160,138,503","₳129,070,375","₳31,068,128","NO","₳309,091","NOT FUNDED","₳32,092","Approval Threshold"
"Naumachia: Rust Smart Contract Development Toolkit","380","₳81,052,704","₳51,262,422","₳29,790,282","YES","₳49,000","NOT FUNDED","₳32,092","Over Budget"
"[C2VN]: Hydra Course for Non-Native English Community Developers","334","₳101,108,021","₳78,309,117","₳22,798,904","NO","₳41,860","NOT FUNDED","₳32,092","Approval Threshold"
"cardano-node typescript implementation","669","₳175,937,685","₳159,701,435","₳16,236,250","NO","₳1,389,696","NOT FUNDED","₳32,092","Approval Threshold"
"Invoicing SDK","288","₳66,374,009","₳53,796,106","₳12,577,903","NO","₳50,000","NOT FUNDED","₳32,092","Approval Threshold"
"CBIA - Augmenting Cardano Developer Portal with ecosystem compatibility & dependency visualizations for dev tools","303","₳49,780,505","₳37,512,593","₳12,267,912","NO","₳47,750","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Node API: a multiple protocol query interface","481","₳147,041,110","₳138,940,583","₳8,100,527","NO","₳185,000","NOT FUNDED","₳32,092","Approval Threshold"
"Token Verification Alliance","492","₳153,227,152","₳145,410,745","₳7,816,407","NO","₳483,900","NOT FUNDED","₳32,092","Approval Threshold"
"Maestro SDKs & ecosystem integrations - Enabling interoperability with scalable blockchain infrastructure","397","₳116,608,775","₳110,423,318","₳6,185,457","NO","₳95,333","NOT FUNDED","₳32,092","Approval Threshold"
"Integrated Wallet Media Player: Enhancing Accessibility and Convenience","434","₳149,595,886","₳145,807,610","₳3,788,276","NO","₳197,000","NOT FUNDED","₳32,092","Approval Threshold"
"NFT Staking Smart Contracts Audit","453","₳146,764,783","₳143,200,659","₳3,564,124","NO","₳241,000","NOT FUNDED","₳32,092","Approval Threshold"
"gOuroboros: Cardano Ouroboros protocol server support in Golang","485","₳140,617,549","₳139,225,009","₳1,392,540","NO","₳185,000","NOT FUNDED","₳32,092","Approval Threshold"
"Hydrozoa: Lightweight and scalable Hydra Heads","536","₳166,956,934","₳165,786,869","₳1,170,065","NO","₳945,476","NOT FUNDED","₳32,092","Approval Threshold"
"Enhancing Access to Token and NFT Analytics: Proposal for Upgrading Wallet Analytics Functionality","381","₳140,783,058","₳140,147,518","₳635,540","NO","₳214,666","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source Sidechain Launcher Toolkit","352","₳121,919,188","₳125,325,076","-₳3,405,888","NO","₳247,500","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source Widget NoCode ""Keyword Coins Real Time Prices"" for Tokens on Cardano Ecosystem Embedded in Content for Websites, Portals & Blogs","338","₳94,181,221","₳100,049,087","-₳5,867,866","NO","₳242,500","NOT FUNDED","₳32,092","Approval Threshold"
"zkFold: zk-rollups on Cardano. Phase 1: zkWrapper","634","₳119,470,715","₳126,136,490","-₳6,665,775","NO","₳665,000","NOT FUNDED","₳32,092","Approval Threshold"
"Catalyst Brasil: Driving innovation in the Cardano Community [Project Catalyst + Cardano Essentials in Sao Paulo, Brazil]","266","₳44,988,131","₳53,618,912","-₳8,630,781","NO","₳62,250","NOT FUNDED","₳32,092","Approval Threshold"
"KuberIDE 2.0: A complete IDE for Plutus Smart Contracts development","433","₳130,428,532","₳139,064,245","-₳8,635,713","NO","₳468,292","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Node on Microsoft Azure Marketplace","359","₳41,286,497","₳51,259,494","-₳9,972,997","NO","₳35,000","NOT FUNDED","₳32,092","Approval Threshold"
"Bridgeless Cross-Chain Swaps in 1 click for Cardano","386","₳55,330,049","₳65,674,433","-₳10,344,384","NO","₳40,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open Multisig Synchronization Service","272","₳34,428,314","₳46,840,218","-₳12,411,904","NO","₳30,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Node on AWS - Quick Start","316","₳38,758,368","₳52,618,118","-₳13,859,750","NO","₳39,500","NOT FUNDED","₳32,092","Approval Threshold"
"Wolfram Cardano Exchange Data Infrastructure","552","₳141,737,895","₳156,238,977","-₳14,501,082","NO","₳824,400","NOT FUNDED","₳32,092","Approval Threshold"
"Learn and Earn Web3 Education Platform Powered by an AI co-pilot for course creators and learners","285","₳31,125,980","₳46,456,311","-₳15,330,331","NO","₳74,500","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source NFT Display and Gallery","315","₳32,928,112","₳52,253,599","-₳19,325,487","NO","₳55,172","NOT FUNDED","₳32,092","Approval Threshold"
