"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Anastasia Labs - Smart Contract Formal Verification Framework","747","₳394,458,517","₳51,006,393","YES","₳200,000","FUNDED","₳10,300,000",""
"Minswap SDK for Stableswap + AMM v2 + LBE v2","824","₳342,294,672","₳30,277,437","YES","₳127,000","FUNDED","₳10,173,000",""
"Anastasia Labs - ZK Accelerate : A User-Friendly Smart Contract Library for ZK contracts","716","₳336,151,168","₳31,055,681","YES","₳200,000","FUNDED","₳9,973,000",""
"Blaze: Maintenance, Security Improvements, Testing & Assurances for the Blaze SDK","358","₳246,320,687","₳43,737,320","YES","₳200,000","FUNDED","₳9,773,000",""
"Blaze: Fully Featured Ledger Emulator, Transaction Builder for the Chang Hard Fork and PlutusV3","372","₳228,465,012","₳34,526,700","YES","₳200,000","FUNDED","₳9,573,000",""
"zkFold: UPLC Converter","699","₳223,390,610","₳30,418,896","YES","₳200,000","FUNDED","₳9,373,000",""
"Hlabs: CIP-113 - Finalize the standard for assets with programmability over transfers","433","₳206,402,130","₳34,698,829","YES","₳200,000","FUNDED","₳9,173,000",""
"Staking Basket Bot Open-source","430","₳185,270,027","₳38,102,561","YES","₳200,000","FUNDED","₳8,973,000",""
"Zero-Knowledge (zkSNARK) Voting Protocol on Cardano for DAO Governance [open source]","580","₳178,499,807","₳17,316,010","YES","₳177,500","FUNDED","₳8,795,500",""
"MLabs - Efficient Contract Upgrades with Yielding Tx Pattern","472","₳170,301,314","₳45,859,787","YES","₳199,932","FUNDED","₳8,595,568",""
"Optim DAO Stack -- Next-Gen DAO Software -- Open Source, Modular, Plutus V2/3 + Aiken.","439","₳156,103,366","₳62,526,491","YES","₳200,000","FUNDED","₳8,395,568",""
"Blaze: Tools for Handling and Managing Script Deployments","321","₳152,582,666","₳23,383,723","YES","₳60,000","FUNDED","₳8,335,568",""
"Aiken Online IDE to Develop, Build, Run, Test, Deploy smart contracts","348","₳144,576,512","₳24,471,763","YES","₳100,000","FUNDED","₳8,235,568",""
"Boros: Tx submission for intense workloads by TxPipe","514","₳140,489,593","₳44,371,038","YES","₳198,750","FUNDED","₳8,036,818",""
"XSY - High-performance on-chain standard library for Plutarch and Aiken","345","₳139,444,177","₳33,887,087","YES","₳200,000","FUNDED","₳7,836,818",""
"Amaru: P2P networking component by TxPipe","485","₳133,533,861","₳48,477,606","YES","₳148,125","FUNDED","₳7,688,693",""
"Telchar: Plutus blacksmith by TxPipe","471","₳131,972,751","₳42,429,905","YES","₳196,250","FUNDED","₳7,492,443",""
"Open-source for Hydra Wallet integrated into Telegram","483","₳131,252,058","₳41,681,092","YES","₳165,333","FUNDED","₳7,327,110",""
"Gimbalabs - Flagship Course for Aiken","488","₳129,515,884","₳30,636,870","YES","₳200,000","FUNDED","₳7,127,110",""
"Cardano Swift - SDK for Apple Development (Cardano Serialization Library x Rust)","404","₳128,042,023","₳33,460,414","YES","₳200,000","FUNDED","₳6,927,110",""
"SIDAN | MeshJS - Advance Cardano SDK in Rust","356","₳127,361,430","₳29,240,079","YES","₳200,000","FUNDED","₳6,727,110",""
"OgmiosDotnet: An Open Source .NET Client for Cardano Node Communication","470","₳126,308,037","₳41,315,239","YES","₳60,000","FUNDED","₳6,667,110",""
"Mesh New Features to Improve Developer experience and Cardano Adoption","388","₳125,403,290","₳30,596,277","YES","₳200,000","FUNDED","₳6,467,110",""
