"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"CHARLI3 - Open Source Oracle SDK","420","₳269,500,092","₳6,248,518","YES","₳100,000","FUNDED","₳3,000,000",""
"CHARLI3 Dendrite v2: DEX, Lending, P2P DeFi Data Upgrades","328","₳232,863,468","₳8,385,581","YES","₳100,000","FUNDED","₳2,900,000",""
"OgmiosDotnet: Cardano Blockchain Events & Visualisation","420","₳197,292,905","₳11,531,538","YES","₳100,000","FUNDED","₳2,800,000",""
"Cardano DeFi SDK - Dexter & Iris V2","165","₳178,008,783","₳12,357,460","YES","₳100,000","FUNDED","₳2,700,000",""
"Anastasia Labs - Smart Contract Design Patterns Conway+","273","₳177,064,130","₳10,770,594","YES","₳100,000","FUNDED","₳2,600,000",""
"OgmiosDotnet: Blockchain Queries & Transaction Submission","398","₳148,559,715","₳5,546,761","YES","₳50,000","FUNDED","₳2,550,000",""
"Bitcoin Lightning Payments on Cardano using Cardinal","334","₳139,687,044","₳9,632,366","YES","₳100,000","FUNDED","₳2,450,000",""
"VESPR: WalletConnect Cardano Flutter SDK & VESPR Integration","313","₳128,620,130","₳7,654,809","YES","₳75,000","FUNDED","₳2,375,000",""
"EIP-712 Typed structured data signing for Cardano","247","₳124,737,930","₳6,213,356","YES","₳95,000","FUNDED","₳2,280,000",""
"Hydra Mobile SDK for Android & iOS","208","₳119,182,963","₳5,934,548","YES","₳80,000","FUNDED","₳2,200,000",""
"Hydrozoa L2: Pilot-ready Reliability and Performance","225","₳114,731,362","₳23,609,236","YES","₳100,000","FUNDED","₳2,100,000",""
"Extend pallas - Adding to Cardano's core components in Rust","145","₳113,989,817","₳6,768,470","YES","₳64,000","FUNDED","₳2,036,000",""
"ZK-Stables: USDC/USDT Non Custodial Bridge","181","₳110,885,964","₳7,356,549","YES","₳85,000","FUNDED","₳1,951,000",""
"by TxPipe - API Layer for Cardano protocols using Tx3","316","₳105,891,602","₳6,505,754","YES","₳97,917","FUNDED","₳1,853,083",""
"Open DJED maintenance, development and infrastructure","241","₳103,993,901","₳28,728,506","YES","₳100,000","FUNDED","₳1,753,083",""
"Mesh: Cross-Chain Production-Ready Wallet SDK","372","₳101,666,078","₳8,836,805","YES","₳100,000","FUNDED","₳1,653,083",""
"Hydra SDK – Fast, Modular, WASM Cardano Toolkit","272","₳101,540,502","₳5,165,088","YES","₳85,000","FUNDED","₳1,568,083",""
"Plutus Debugger VSCode Plugin","127","₳101,313,435","₳8,190,682","YES","₳60,000","FUNDED","₳1,508,083",""
"MidnightZK Off-Ramp SDK: ADA↔Web2 Payments (Cash App, Wise)","182","₳100,265,377","₳5,585,450","YES","₳80,000","FUNDED","₳1,428,083",""
"Hydra-Powered Micro-PaaS","146","₳98,211,492","₳9,186,686","YES","₳75,000","FUNDED","₳1,353,083",""
"Cardanoscan API SDK - Python","235","₳95,867,654","₳4,535,756","YES","₳64,000","FUNDED","₳1,289,083",""
"Hydra Hexcore – Tool for Deployment Multi-Hydra Party","257","₳95,392,614","₳6,853,222","YES","₳95,000","FUNDED","₳1,194,083",""
"SIDAN - Whisky V2 - Cardano Rust SDK with Pallas","229","₳93,596,813","₳23,550,161","YES","₳100,000","FUNDED","₳1,094,083",""
"Hydrozoa L2: New R&D and Cool Features","221","₳92,753,367","₳10,809,293","YES","₳100,000","FUNDED","₳994,083",""
"OpenMM: Cardano’s Universal Market Making Toolkit","172","₳92,692,738","₳6,650,576","YES","₳85,000","FUNDED","₳909,083",""
"Hydra Wall Street Library: Integrate with Real-World Finance","192","₳91,739,130","₳13,524,161","YES","₳80,000","FUNDED","₳829,083",""
"by TxPipe - Early Aiken vulnerability detection using AI","245","₳90,865,187","₳23,047,547","YES","₳96,000","FUNDED","₳733,083",""
"Hydra-Point-of-Sale: Accept ADA, CNTs in Retail & Invoicing","200","₳90,373,195","₳10,185,167","YES","₳95,000","FUNDED","₳638,083",""
"by TxPipe - Monitoring Dashboards Tailored for your dApp","293","₳88,931,969","₳8,184,773","YES","₳97,083","FUNDED","₳541,000",""
"by Txpipe - White-label e-Commerce Platform on Cardano","251","₳88,083,207","₳5,932,339","YES","₳99,917","FUNDED","₳441,083",""
"One Launchpad for All DEXes: Deploy Tokens on Cardano","193","₳86,018,216","₳10,389,473","YES","₳100,000","FUNDED","₳341,083",""
"by TxPipe - Shipping Oracle to unlock Cardano e-Commerce","276","₳85,788,303","₳9,491,686","YES","₳99,917","FUNDED","₳241,166",""
