"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Activating IPDC Blockchain through Real Broadcasting Waves","282","₳138,574,133","₳23,866,072","YES","₳100,000","FUNDED","₳3,900,000",""
"Integration of DIA Price Oracles on Cardano","133","₳125,807,069","₳4,478,445","YES","₳94,500","FUNDED","₳3,805,500",""
"MIRAI Memories Bank ーProject Echoes of the Heartー","276","₳116,592,790","₳20,327,040","YES","₳98,500","FUNDED","₳3,707,000",""
"Hydra Minecraft","251","₳98,586,152","₳5,975,404","YES","₳38,000","FUNDED","₳3,669,000",""
"VESPR: AI Bridge to Cardano 🤖 | For Claude, GPT & AI Agents","221","₳93,233,486","₳9,503,629","YES","₳95,000","FUNDED","₳3,574,000",""
"A Token-Incentivized Mental Health Ecosystem Using DID","212","₳84,719,540","₳12,947,838","YES","₳100,000","FUNDED","₳3,474,000",""
"MidnightZK Data-Marketplace for Authentic Human Data: Nuauth","120","₳78,798,954","₳8,025,848","YES","₳70,000","FUNDED","₳3,404,000",""
"Anti-Front-Running ZKPerps on Cardano w/MidnightZK","165","₳75,219,759","₳7,060,164","YES","₳74,000","FUNDED","₳3,330,000",""
"Trace It: Driving Mass Adoption via Universal Traceability","310","₳73,948,242","₳7,737,721","YES","₳85,000","FUNDED","₳3,245,000",""
"HashiRWA: Bridging Japan’s Agri RWA with AI","196","₳73,760,449","₳32,631,761","YES","₳99,950","FUNDED","₳3,145,050",""
"GY Options trading","265","₳70,781,536","₳14,332,425","YES","₳100,000","FUNDED","₳3,045,050",""
"Kima: Interoperability Layer for Cardano Ecosystem","115","₳69,705,285","₳25,685,376","YES","₳100,000","FUNDED","₳2,945,050",""
"CHARLI3 Discord/Telegram Token Data and Multi-DEX swap bot","188","₳69,527,528","₳10,912,148","YES","₳100,000","FUNDED","₳2,845,050",""
"SIDAN - Delegator Feedback System for DRep Voting","177","₳68,555,269","₳27,867,375","YES","₳100,000","FUNDED","₳2,745,050",""
"NODO: Cardano’s AI Liquidity Layer for USDA, USDM & RWAs","116","₳66,707,349","₳10,841,415","YES","₳100,000","FUNDED","₳2,645,050",""
"Decentralized On-Chain Data Encryption","117","₳63,585,743","₳23,922,305","YES","₳100,000","FUNDED","₳2,545,050",""
"Ekklesia: High-Frequency Voting on Cardano with Hydra","220","₳61,114,055","₳6,290,071","YES","₳100,000","FUNDED","₳2,445,050",""
"Prisma DIDs: Decentralized IDs for Verifiable Contributions","124","₳59,561,626","₳6,186,084","YES","₳75,000","FUNDED","₳2,370,050",""
"EUDI4Cardano – Interoperability of EUDI Wallets with Cardano","143","₳58,755,691","₳10,522,981","YES","₳100,000","FUNDED","₳2,270,050",""
"Cardano NFT Ticketing & Conference Goer Platform by Rare Evo","105","₳58,705,999","₳8,016,054","YES","₳85,000","FUNDED","₳2,185,050",""
"Cardano Bond Exchange: Trading Zero-Coupon Bond (RWA)","150","₳57,187,114","₳6,077,304","YES","₳92,000","FUNDED","₳2,093,050",""
"VeriScript - On-chain source code verification","156","₳56,241,014","₳22,316,575","YES","₳77,760","FUNDED","₳2,015,290",""
"Funding Assessment & Impact Framework","89","₳55,025,755","₳6,909,887","YES","₳95,000","FUNDED","₳1,920,290",""
"Kamino + Cardano: earn yield with your Cardano assets","138","₳54,030,563","₳15,011,758","YES","₳100,000","FUNDED","₳1,820,290",""
"DRep DAO Platform","175","₳53,104,286","₳28,797,481","YES","₳94,000","FUNDED","₳1,726,290",""
"Bitcoin <> Cardano Atomic Swaps","179","₳52,991,790","₳8,024,477","YES","₳100,000","FUNDED","₳1,626,290",""
"Cardano Treasury Explorer Open Data Source - ADAspending.com","202","₳52,894,718","₳28,043,104","YES","₳100,000","FUNDED","₳1,526,290",""
"MLabs + Cardano Racers Team Up for Hydra Powered Gaming","165","₳51,723,646","₳5,206,664","YES","₳83,000","FUNDED","₳1,443,290",""
"Cardano SeedSigner: DIY air-gapped Hardware Wallet","132","₳51,155,498","₳26,855,430","YES","₳100,000","FUNDED","₳1,343,290",""
"SeerBOT: The next generation trading platform on Cardano","98","₳50,675,762","₳8,783,501","YES","₳74,526","FUNDED","₳1,268,764",""
"NuNet: Secure framework for Edge AI with on-chain payments","177","₳49,800,021","₳23,811,661","YES","₳100,000","FUNDED","₳1,168,764",""
"Hydra Hub – SaaS Node Distribution System Phase 1","207","₳48,315,817","₳9,357,178","YES","₳100,000","FUNDED","₳1,068,764",""
"Anvil - Semi-Custodial Wallet: Enterprise ready Wallet SDK","142","₳46,630,408","₳7,813,414","YES","₳60,000","FUNDED","₳1,008,764",""
"Cardano Music Royalties: Instant, Transparent Payouts","106","₳46,578,859","₳5,555,178","YES","₳90,000","FUNDED","₳918,764",""
"Quex oracles","109","₳46,458,314","₳12,891,075","YES","₳100,000","FUNDED","₳818,764",""
"Real-World Real Estate Pre-Sale with Proof & Release","128","₳46,254,656","₳23,741,035","YES","₳65,000","FUNDED","₳753,764",""
"ZK Login in Cardano - Eryx","146","₳45,947,691","₳27,033,062","YES","₳100,000","FUNDED","₳653,764",""
"Rolling Loans: Continuous Borrowing on Danogo","140","₳45,559,194","₳5,890,277","YES","₳75,000","FUNDED","₳578,764",""
"Pre-IPO Perpetuals: Trade Private Companies on Cardano","90","₳44,874,510","₳7,381,320","YES","₳65,000","FUNDED","₳513,764",""
"[Aladin] Securing Fair Pay for Freelancers Globally","108","₳44,370,452","₳7,034,681","NO","₳68,430","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano-Powered KYC & Digital Identity System for Ethiopia","122","₳44,320,704","₳9,001,118","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"TEE-based block assembly engine for Cardano","85","₳44,213,505","₳10,118,795","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Empowering Future Stars: Cardano Footballer Tokens","97","₳43,934,413","₳22,203,302","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Hydra-Powered M-SCI RPG Shooter: Next-Gen GameFi on Cardano","103","₳43,892,793","₳9,192,882","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"[Aladin] Building a Global Reputation for Freelancers","116","₳43,358,234","₳10,773,958","NO","₳70,370","NOT FUNDED","₳513,764","Approval Threshold"
"Midnight and Atala Prism Enabled Medical DID","186","₳43,279,640","₳9,011,453","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
