proposer,total_ada,n_records,n_complete,n_in_progress,n_active,n_paused,n_withdrawn,n_risk_flagged,n_usd_only,ada_complete,ada_in_progress,ada_active,ada_paused,ada_withdrawn
MLabs LTD,98952250.0,410,360,40,0,10,0,10,120,89379040.0,5642790.0,0.0,3930420.0,0.0
TxPipe,21567274.8,150,72,78,0,0,0,0,0,14715864.0,6851410.800000001,0.0,0.0,0.0
IntersectMBO,15887428.0,2,0,1,0,1,0,1,0,0.0,137428.0,0.0,15750000.0,0.0
Cardano Builder DAO,12000000.0,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,12000000.0
zkFold,4016000.0,11,6,4,1,0,0,0,0,1850000.0,1005000.0,1161000.0,0.0,0.0
Rare Network (Rare Evo) & SCRIB3,1915400.0,10,8,2,0,0,0,0,0,1895000.0,20400.0,0.0,0.0,0.0
Serviceplan Group,1840000.0,2,1,1,0,0,0,0,0,1800000.0,40000.0,0.0,0.0,0.0
Eryx,1104000.0,4,2,1,1,0,0,0,0,350000.0,54000.0,700000.0,0.0,0.0
Techstars,1079000.0,1,0,1,0,0,0,0,0,0.0,1079000.0,0.0,0.0,0.0
VacuumLabs,838400.0,3,1,1,0,1,0,1,1,0.0,113600.0,0.0,724800.0,0.0
2 Lovelaces & Lido Nation,527199.99,6,2,4,0,0,0,0,1,260000.0,267199.99,0.0,0.0,0.0
DeltaDeFi,500000.0,2,2,0,0,0,0,0,0,500000.0,0.0,0.0,0.0,0.0
Indigo Foundation,450000.0,1,1,0,0,0,0,0,0,450000.0,0.0,0.0,0.0,0.0
WingRiders Ltd.,185000.0,1,1,0,0,0,0,0,0,185000.0,0.0,0.0,0.0,0.0
BLOXBEAN,99600.0,1,0,0,1,0,0,0,0,0.0,0.0,99600.0,0.0,0.0
Prisma,32400.0,2,0,2,0,0,0,0,0,0.0,32400.0,0.0,0.0,0.0
