proposer_canonical,total_budget_ada,n_tf2_proposals
BRIDGE FUND,65405000,1
ChainPort (by DcentraLab),30570400,1
Ensurable Systems Ltd,21040966,2
Wormhole Foundation,20600000,1
Innovation & Growth DAO,14304640,1
NMA Venture Capital GmbH,6200600,1
Cardano Tooling DAO LLC,6180000,1
Ledger Technologies SAS,5613500,3
Magenta Labs,5450000,2
Open Source Committee (Intersect),4601000,1
"Anvil Development Agency, Inc.",4372865,1
Wirex Limited,3961538,1
Teragone Factory,3739559,1
Dano Finance,3399000,1
Voltaire Swarm,2664095,1
Libertum,2193900,1
Justice Conder,1874600,1
No.Witness Labs,1853996,2
Simon Thompson,1802500,1
Cardano Content Creator Consortium (C4),1524400,1
Yoram Ben Zvi,1519250,1
AxellaCoin,1390508,1
Voltaire Swarm OÜ,1350330,1
Jose Velazquez,1339000,1
Houdiniswap,1311190,1
IntersectCPC,1240000,1
Intersect Technical Steering Committee,1193000,1
Se7en Labs,1112400,1
Wada Global,989901,1
Five Binaries,952750,1
STORM Partners,929699,1
David Tacuri,653947,1
IntersectCBC,600000,1
Intersect Civics Committee,442900,1
